V	C
3.68	5.07842e-12
3.69	5.05531e-12
3.7	5.03235e-12
3.71	5.00945e-12
3.72	4.98696e-12
3.73	4.96426e-12
3.74	4.94197e-12
3.75	4.91954e-12
3.76	4.8973e-12
3.77	4.87524e-12
3.78	4.85324e-12
3.79	4.83145e-12
3.8	4.80974e-12
3.81	4.78815e-12
3.82	4.76657e-12
3.83	4.74521e-12
3.84	4.72392e-12
3.85	4.70274e-12
3.86	4.68166e-12
3.87	4.66077e-12
3.88	4.63982e-12
3.89	4.6191e-12
3.9	4.59852e-12
3.91	4.57792e-12
3.92	4.55765e-12
3.93	4.53719e-12
3.94	4.51696e-12
3.95	4.49691e-12
3.96	4.47696e-12
3.97	4.45708e-12
3.98	4.43718e-12
3.99	4.41752e-12
4	4.39799e-12
4.01	4.37857e-12
4.02	4.35912e-12
4.03	4.33987e-12
4.04	4.32054e-12
4.05	4.30166e-12
4.06	4.28254e-12
4.07	4.26375e-12
4.08	4.24508e-12
4.09	4.22631e-12
4.1	4.20769e-12
4.11	4.18927e-12
4.12	4.17067e-12
4.13	4.15242e-12
4.14	4.13432e-12
4.15	4.11622e-12
4.16	4.09804e-12
4.17	4.08023e-12
4.18	4.06226e-12
4.19	4.04464e-12
4.2	4.02697e-12
4.21	4.00957e-12
4.22	3.99176e-12
4.23	3.97451e-12
4.24	3.9571e-12
4.25	3.94005e-12
4.26	3.92286e-12
4.27	3.9059e-12
4.28	3.88884e-12
4.29	3.87189e-12
4.3	3.85532e-12
4.31	3.83859e-12
4.32	3.8218e-12
4.33	3.80559e-12
4.34	3.78897e-12
4.35	3.77252e-12
4.36	3.7566e-12
4.37	3.74023e-12
4.38	3.72407e-12
4.39	3.70812e-12
4.4	3.69202e-12
4.41	3.67634e-12
4.42	3.66044e-12
4.43	3.64479e-12
4.44	3.62921e-12
4.45	3.61349e-12
4.46	3.59819e-12
4.47	3.58274e-12
4.48	3.56725e-12
4.49	3.55202e-12
4.5	3.53706e-12
4.51	3.52172e-12
4.52	3.50701e-12
4.53	3.49197e-12
4.54	3.47713e-12
4.55	3.46247e-12
4.56	3.4475e-12
4.57	3.43288e-12
4.58	3.41837e-12
4.59	3.40398e-12
4.6	3.38943e-12
4.61	3.37517e-12
4.62	3.3609e-12
4.63	3.3466e-12
4.64	3.33253e-12
4.65	3.31842e-12
4.66	3.30446e-12
4.67	3.29046e-12
4.68	3.27667e-12
4.69	3.26279e-12
4.7	3.24927e-12
4.71	3.23548e-12
4.72	3.22199e-12
4.73	3.20836e-12
4.74	3.19513e-12
4.75	3.18166e-12
4.76	3.1683e-12
4.77	3.15498e-12
4.78	3.14192e-12
4.79	3.12887e-12
4.8	3.11566e-12
4.81	3.10266e-12
4.82	3.08974e-12
4.83	3.07679e-12
4.84	3.06421e-12
4.85	3.05141e-12
4.86	3.03864e-12
4.87	3.02612e-12
4.88	3.01359e-12
4.89	3.00103e-12
4.9	2.98854e-12
4.91	2.97613e-12
4.92	2.96386e-12
4.93	2.95169e-12
4.94	2.9395e-12
4.95	2.9274e-12
4.96	2.9153e-12
4.97	2.90326e-12
4.98	2.89145e-12
4.99	2.87945e-12
5	2.86766e-12
5.01	2.85597e-12
5.02	2.84415e-12
5.03	2.83255e-12
5.04	2.82088e-12
5.05	2.80926e-12
5.06	2.79772e-12
5.07	2.78649e-12
5.08	2.77502e-12
5.09	2.7637e-12
5.1	2.75238e-12
5.11	2.74121e-12
5.12	2.73011e-12
5.13	2.71898e-12
5.14	2.70786e-12
5.15	2.697e-12
5.16	2.68589e-12
5.17	2.6751e-12
5.18	2.66424e-12
5.19	2.65335e-12
5.2	2.6426e-12
5.21	2.63201e-12
5.22	2.62133e-12
5.23	2.61068e-12
5.24	2.60023e-12
5.25	2.58974e-12
5.26	2.57935e-12
5.27	2.56895e-12
5.28	2.55856e-12
5.29	2.54818e-12
5.3	2.53801e-12
5.31	2.5279e-12
5.32	2.51769e-12
5.33	2.50755e-12
5.34	2.49742e-12
5.35	2.4876e-12
5.36	2.47759e-12
5.37	2.46781e-12
5.38	2.4579e-12
5.39	2.44804e-12
5.4	2.43826e-12
5.41	2.42857e-12
5.42	2.41886e-12
5.43	2.40939e-12
5.44	2.39977e-12
5.45	2.39023e-12
5.46	2.38069e-12
5.47	2.3712e-12
5.48	2.36174e-12
5.49	2.35245e-12
5.5	2.34321e-12
5.51	2.33407e-12
5.52	2.32472e-12
5.53	2.31547e-12
5.54	2.30636e-12
5.55	2.29737e-12
5.56	2.28829e-12
5.57	2.27916e-12
5.58	2.27036e-12
5.59	2.26137e-12
5.6	2.2525e-12
5.61	2.24366e-12
5.62	2.23491e-12
5.63	2.22613e-12
5.64	2.21744e-12
5.65	2.20873e-12
5.66	2.20002e-12
5.67	2.19148e-12
5.68	2.183e-12
5.69	2.17451e-12
5.7	2.16591e-12
5.71	2.15759e-12
5.72	2.14915e-12
5.73	2.14083e-12
5.74	2.13256e-12
5.75	2.12421e-12
5.76	2.11594e-12
5.77	2.10775e-12
5.78	2.09962e-12
5.79	2.09149e-12
5.8	2.08337e-12
5.81	2.07539e-12
5.82	2.06729e-12
5.83	2.0594e-12
5.84	2.05145e-12
5.85	2.0435e-12
5.86	2.03566e-12
5.87	2.02773e-12
5.88	2.01999e-12
5.89	2.01226e-12
5.9	2.00455e-12
5.91	1.99683e-12
5.92	1.98919e-12
5.93	1.98156e-12
5.94	1.974e-12
5.95	1.96646e-12
5.96	1.95901e-12
5.97	1.95156e-12
5.98	1.94413e-12
5.99	1.93691e-12
6	1.92951e-12
